tamanio,costo_prom,costo_moda,costo_var,costo_min,costo_max,dens_celda_t2,dens_celda_t3,dens_total,entropia_costos,gradiente_prom,bfs_costo,bfs_nodos,bfs_tiempo,a_star_costo,a_star_nodos,a_star_tiempo,ucs_costo,ucs_nodos,ucs_tiempo,greedy_costo,greedy_nodos,greedy_tiempo,mejor_alg
9,1.382716049382716,1.0,0.45846669714982474,0,3,0.19753086419753085,0.09876543209876543,0.2962962962962963,0.8584411723212839,0.6180555555555556,24,81,0.00023055076599121094,16,31,0.00013780593872070312,16,80,0.0002467632293701172,19,17,5.53131103515625e-05,A*
4,1.4375,1.0,0.74609375,0,3,0.125,0.1875,0.3125,1.040839837423239,0.8333333333333334,9,16,4.1484832763671875e-05,7,13,4.7206878662109375e-05,7,16,4.5299530029296875e-05,7,7,2.0265579223632812e-05,Greedy
10,1.41,1.0,0.38190000000000013,0,3,0.3,0.06,0.36,0.8671305257090959,0.5833333333333334,26,100,0.000225067138671875,22,101,0.00048470497131347656,22,100,0.0003151893615722656,24,19,6.341934204101562e-05,UCS
5,1.56,1.0,0.6464,0,3,0.28,0.16,0.44000000000000006,1.1184402194735314,0.7,15,25,6.008148193359375e-05,10,15,6.079673767089844e-05,10,25,6.985664367675781e-05,12,9,2.5987625122070312e-05,A*
3,1.4444444444444444,1.0,0.691358024691358,0,3,0.3333333333333333,0.1111111111111111,0.4444444444444444,1.2148896539491203,0.75,8,9,2.6226043701171875e-05,4,5,1.9311904907226562e-05,4,8,1.8835067749023438e-05,4,5,1.2159347534179688e-05,Greedy
10,1.58,1.0,0.6035999999999999,0,3,0.25,0.17,0.42000000000000004,1.0142657386157907,0.8111111111111111,28,100,0.0002522468566894531,19,50,0.00026917457580566406,19,100,0.00030994415283203125,30,19,6.341934204101562e-05,A*
10,1.31,1.0,0.31389999999999996,0,3,0.24,0.04,0.27999999999999997,0.7604827795604548,0.4722222222222222,29,100,0.0002446174621582031,18,60,0.00026416778564453125,18,100,0.00031375885009765625,21,19,6.318092346191406e-05,A*
10,1.38,1.0,0.39559999999999995,0,3,0.25,0.07,0.32,0.8470934643452219,0.6333333333333333,25,100,0.0002243518829345703,18,38,0.00018739700317382812,18,99,0.0003190040588378906,27,19,6.246566772460938e-05,A*
7,1.5510204081632653,1.0,0.5331112036651396,0,3,0.32653061224489793,0.12244897959183673,0.44897959183673464,1.0383001683195376,0.7142857142857143,22,49,0.0001277923583984375,12,22,0.000102996826171875,12,48,0.0001437664031982422,19,13,4.100799560546875e-05,A*
8,1.46875,1.0,0.4990234375,0,3,0.265625,0.109375,0.375,0.9609939881815612,0.7232142857142857,18,64,0.0001404285430908203,15,37,0.00015687942504882812,15,63,0.00018668174743652344,23,15,4.649162292480469e-05,A*
